chat_row,text_message,Tokens,Adjusted_Tokens,Sentiment,Positive_Count,Negative_Count,Sentiment_TextBlob
1,today was the horrible day for my sugar-free. I feel so disappointing about it.,"['today', 'horrible', 'day', 'sugar-free', '.', 'feel', 'disappointing', '.']","['today', 'horrible', 'day', 'sugar-free', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
2,today was the horrible day for my gym. I feel so hate about it.,"['today', 'horrible', 'day', 'gym', '.', 'feel', 'hate', '.']","['today', 'horrible', 'day', 'gym', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
3,i great my sports session today! It really made a difference in my deadlift!,"['great', 'sports', 'session', 'today', '!', 'really', 'made', 'difference', 'deadlift', '!']","['great', 'sports', 'session', 'today', '!', 'really', 'made', 'difference', 'deadlift', '!']",Positive,1,0,Positive
4,today was the bad day for my plank. I feel so negative about it.,"['today', 'bad', 'day', 'plank', '.', 'feel', 'negative', '.']","['today', 'bad', 'day', 'plank', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
5,today was the disappointing day for my nutrient-dense. I feel so hate about it.,"['today', 'disappointing', 'day', 'nutrient-dense', '.', 'feel', 'hate', '.']","['today', 'disappointing', 'day', 'nutrient-dense', '.', 'feel', 'hate', '.']",Negative,0,2,Negative
6,today was the bad day for my gluten-free. I feel so poor about it.,"['today', 'bad', 'day', 'gluten-free', '.', 'feel', 'poor', '.']","['today', 'bad', 'day', 'gluten-free', '.', 'feel', 'poor', '.']",Negative,0,2,Negative
7,i positive my meal prep session today! It really made a difference in my sports!,"['positive', 'meal', 'prep', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']","['positive', 'meal', 'prep', 'session', 'today', '!', 'really', 'made', 'difference', 'sports', '!']",Positive,1,0,Positive
8,today was the hate day for my recovery. I feel so disappointing about it.,"['today', 'hate', 'day', 'recovery', '.', 'feel', 'disappointing', '.']","['today', 'hate', 'day', 'recovery', '.', 'feel', 'disappointing', '.']",Negative,0,2,Negative
9,i good my gluten-free session today!,"['good', 'gluten-free', 'session', 'today', '!']","['good', 'gluten-free', 'session', 'today', '!']",Positive,1,0,Positive
10,today was the poor day for my sugar-free. I feel so bad about it.,"['today', 'poor', 'day', 'sugar-free', '.', 'feel', 'bad', '.']","['today', 'poor', 'day', 'sugar-free', '.', 'feel', 'bad', '.']",Negative,0,2,Negative
11,i happy my strength session today! It really made a difference in my motivation!,"['happy', 'strength', 'session', 'today', '!', 'really', 'made', 'difference', 'motivation', '!']","['happy', 'strength', 'session', 'today', '!', 'really', 'made', 'difference', 'motivation', '!']",Positive,1,0,Positive
12,today was the poor day for my fitness. I feel so negative about it.,"['today', 'poor', 'day', 'fitness', '.', 'feel', 'negative', '.']","['today', 'poor', 'day', 'fitness', '.', 'feel', 'negative', '.']",Negative,0,2,Negative
13,i fantastic my healthy snacks session today! It really made a difference in my active lifestyle!,"['fantastic', 'healthy', 'snacks', 'session', 'today', '!', 'really', 'made', 'difference', 'active', 'lifestyle', '!']","['fantastic', 'healthy', 'snacks', 'session', 'today', '!', 'really', 'made', 'difference', 'active', 'lifestyle', '!']",Positive,1,0,Positive
14,i excellent my health session today! It really made a difference in my workout!,"['excellent', 'health', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']","['excellent', 'health', 'session', 'today', '!', 'really', 'made', 'difference', 'workout', '!']",Positive,1,0,Positive
15,i good my cardio session today!,"['good', 'cardio', 'session', 'today', '!']","['good', 'cardio', 'session', 'today', '!']",Positive,1,0,Positive
16,today was the hate day for my organic. I feel so worst about it.,"['today', 'hate', 'day', 'organic', '.', 'feel', 'worst', '.']","['today', 'hate', 'day', 'organic', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
17,today was the sad day for my performance. I feel so worst about it.,"['today', 'sad', 'day', 'performance', '.', 'feel', 'worst', '.']","['today', 'sad', 'day', 'performance', '.', 'feel', 'worst', '.']",Negative,0,2,Negative
18,i positive my food diary session today!,"['positive', 'food', 'diary', 'session', 'today', '!']","['positive', 'food', 'diary', 'session', 'today', '!']",Positive,1,0,Positive
